commune,population,appartement,maison,ventes
#DISTRICTS_IN_PARIS
1er,15917,12390,14851,3351
2e,21595,11514,14478,5137
3e,34025,11856,13722,7120
4e,29131,12885,14395,5261
5e,58227,11952,14718,8448
6e,40303,14531,15013,8081
7e,48888,13727,15270,9361
8e,35655,12165,14884,7315
9e,60026,11070,14586,12047
10e,86472,9747,13384,16767
11e,145208,10035,13224,26444
12e,180005,8909,14575,15519
13e,125592,9662,14833,16756
14e,230981,9764,15575,34056
15e,165523,11068,15479,27996
16e,166543,10453,14741,28698
17e,192468,9066,13715,25011
18e,184573,8375,12993,17928
19e,194994,8546,12521,21464
#NEAREST_MUNICIPALITES
Boulogne-Billancourt,121583,8672,10919,19626
Saint-Denis,112852,4493,5645,9410
Montreuil,111240,6205,7072,13340
Argenteuil,111038,3174,3933,11453
Nanterre,96277,5466,7706,6847
Vitry-Sur-Seine,95510,4160,5437,7689
Créteil,93246,3723,6930,8259
Aubervilliers,88948,4231,3778,6608
Asnières-Sur-Seine,87143,6333,9420,16106
Aulnay-Sous-Bois,86969,3183,3813,7346
Colombes,86534,5292,7270,12750
#LARGEST_CITIES
Paris,2165423,9975,14041,324179
Marseille,870731,3191,5040,132408
Lyon,522969,4655,6007,84711
Toulouse,493465,3296,3971,95874
Nice,342669,4756,6467,81067
Nantes,318808,3553,4559,60874
Montpellier,295542,3376,4264,55831
Bordeaux,260958,4434,5259,52547
Lille,234475,3829,2809,42790
Rennes,220488,3808,5102,40406
Reims,181194,2611,2668,27506
Toulon,178745,2674,4707,31402
Le Havre,168290,2314,2473,26141
Grenoble,158198,2625,3726,30714
Dijon,158002,2679,3353,35780
Angers,155850,3203,3424,25984
Saint-Denis,153810,2471,3145,13660
Villeurbanne,152212,3702,4308,28116
Nîmes,148561,2165,2937,23986
Clermont-Ferrand,147865,2207,2566,23616
Aix-En-Provence,145133,5041,6472,23778
Le Mans,143847,1942,2136,24253
Brest,139926,2155,2437,28778
Tours,137087,2923,3461,24226
Limoges,130876,1640,1934,19824
Annecy,130721,5225,6216,22196
Boulogne-Billancourt,121583,8672,10919,19626
Perpignan,119344,1560,2144,22233
Besançon,117912,2145,2657,20102
Orléans,116269,2683,2718,19716
Saint-Denis,112852,4493,5645,9410
Rouen,112321,2747,2883,24118
Montreuil,111240,6205,7072,13340
Argenteuil,111038,3174,3933,11453
Caen,106230,2925,3406,22259
Nancy,105058,2370,2617,21015
Saint-Paul,103208,4972,4003,7145
Roubaix,98828,1936,1384,9341
