term;french;english;chinese
Pinel +;Version améliorée du dispositif Pinel pour investissement locatif;Enhanced version of the Pinel scheme for rental investment;增强版的Pinel计划，用于租赁投资
PLAI;Prêt Locatif Aidé d'Intégration, pour logement très social;Assisted Integration Rental Loan, for very social housing;援助集成租赁贷款，用于非常社会化的住房
RP réhabilité;Résidence principale réhabilitée pour améliorer l'état du bien;Rehabilitated primary residence to improve property condition;翻新过的主要住所，用于改善房屋状况
Pinel;Dispositif d'investissement locatif pour réduire les impôts;Rental investment scheme to reduce taxes;租赁投资计划以减少税收
BRS;Bail Réel Solidaire, pour acheter un bien avec un coût réduit;Real Solidarity Lease, to buy a property at a reduced cost;真实的团结租赁，以较低成本购买房产
LMNP non géré;Location Meublée Non Professionnelle sans gestion locative;Non-Professional Furnished Rental without rental management;非职业配备租赁，不含租赁管理
LMNP;Location Meublée Non Professionnelle avec avantages fiscaux;Non-Professional Furnished Rental with tax benefits;带税收优惠的非职业配备租赁
Prix maîtrisé;Prix plafonné pour favoriser l'accessibilité du logement;Capped price to promote housing accessibility;为促进住房可及性的限价
Denormandie optimisé au DF;Dispositif Denormandie pour rénovation avec déficit foncier;Denormandie scheme for renovation with tax loss carryforward;Denormandie翻新方案，带税收亏损结转
Déficit foncier;Déduction fiscale liée aux travaux dans les biens loués;Tax deduction related to renovations in rental properties;与出租房产翻修相关的税收减免
RP ancien;Résidence principale dans un bâtiment ancien;Primary residence in an old building;位于旧建筑中的主要住所
Droit commun ancien;Régime d'imposition standard pour les biens anciens;Standard tax regime for old properties;旧房产的标准税收制度
Malraux optimisé au DF;Dispositif Malraux pour rénovation avec optimisation fiscale;Malraux scheme for renovation with tax optimization;带税收优化的Malraux翻新计划
Pinel outre-mer;Version du dispositif Pinel pour les DOM-TOM;Overseas Pinel scheme for French territories;法国海外领土的Pinel计划
PSLA;Prêt Social Location-Accession pour achat progressif;Social Lease-to-Own Loan for gradual home purchase;逐步购房的社会租购贷款
LMNP non géré réhabilité;LMNP réhabilité sans gestion locative;Rehabilitated LMNP without rental management;翻新的LMNP无租赁管理
Censi Bouvard;Dispositif fiscal pour investissements en résidence de services;Tax scheme for investments in serviced residences;服务式公寓投资的税收计划
PLS;Prêt Locatif Social pour financement de logements sociaux;Social Rental Loan for social housing financing;用于社会住房融资的社会租赁贷款
Droit commun;Régime standard d'imposition pour tout bien immobilier;Standard tax regime for any real estate;任何房产的标准税收制度
PTZ;Prêt à Taux Zéro pour achat immobilier sans intérêt;Zero-Interest Loan for interest-free property purchase;无息购房的零利率贷款
Nue propriété;Droit de propriété sans l'usage direct du bien;Ownership without direct use of the property;无直接使用的房产所有权
Pinel optimisé au DF;Pinel avec déduction de déficit foncier;Pinel with tax loss deduction;带税收亏损减免的Pinel计划
Accession abordable;Achat de logement à prix accessible;Affordable housing purchase;经济实惠的购房
Pinel sénior;Pinel pour résidences seniors;Pinel scheme for senior residences;针对老年人住宅的Pinel计划
RP neuf;Résidence principale dans un bâtiment neuf;Primary residence in a new building;位于新建筑中的主要住所
LMNP second marché;LMNP acheté en revente;Second-hand LMNP purchase;二手LMNP购买
Girardin IS;Investissement outre-mer avec réduction IS;Overseas investment with corporate tax reduction;享企业税减免的海外投资
Monuments historiques;Régime fiscal pour bâtiments classés;Tax scheme for classified buildings;古建筑的税收计划
Pinel réhabilité;Pinel pour biens réhabilités;Pinel for rehabilitated properties;翻新房产的Pinel计划
Denormandie;Investissement locatif dans l'ancien avec rénovation;Rental investment in old property with renovation;带翻新旧房的租赁投资
Malraux;Régime fiscal pour restauration de patrimoine historique;Tax scheme for historical heritage restoration;历史遗产修复的税收计划
TVA réduite;TVA à taux réduit pour certains biens immobiliers;Reduced VAT rate for certain real estate;部分房产的低税率增值税
