trimestre,centre,1er,2e,3e,4e,5e,6e,7e,8e,9e,10e,11e,12e,13e,14e,15e,16e,17e,18e,19e,20e
T22024,12180,13570,11720,11850,12640,11650,13910,13200,11230,10150,8820,9470,8370,8250,8820,8710,10110,9280,8490,7540,7880
T12024,12400,13110,11760,11980,13380,11670,13550,13250,11240,9750,9170,9420,8490,8300,8870,8910,10000,9350,8600,7670,8050
T42023,12630,13550,11830,12570,13080,12000,13840,13190,11230,10120,9330,9740,8670,8340,9140,9170,10440,9570,8780,7930,8190
T32023,12680,13790,11650,12610,13060,12340,14060,13550,11580,10460,9550,9970,9050,8750,9240,9390,10510,10070,9220,8350,8540
T22023,12650,13190,12140,12590,13220,12550,14010,13620,11890,10600,9640,10010,9040,8730,9240,9330,10660,10080,9140,8360,8700
T12023,12930,14140,11810,12750,13920,12610,14580,13740,11460,10850,9760,10200,9350,8990,9640,9500,10940,10180,9350,8500,8720
T42022,13020,14770,12100,13120,13110,12710,14350,13800,11550,10960,9900,10300,9500,9490,9670,9840,11040,10330,9470,8750,8920
T32022,12950,13650,12040,12860,13640,12630,14410,14160,11820,10940,10120,10690,9600,9370,9910,9930,11230,10530,9700,8930,9140
T22022,12830,13870,12340,12600,13210,12920,14460,14080,12040,10880,10260,10490,9590,9260,10010,9840,10890,10480,9800,8750,9100
T12022,12680,13240,11970,12630,13300,12870,14110,13330,11640,10870,10080,10460,9630,9180,10090,9910,10880,10360,9650,8880,9070
T42021,12560,13650,11830,12900,12720,12650,13960,13290,11920,10780,10140,10450,9730,9190,10020,10070,10830,10470,9800,8910,9360
T32021,13080,13080,12440,13150,13710,12860,14020,13850,11250,11190,10300,10620,9900,9560,10300,10110,11070,10860,10080,9240,9290
T22021,13290,14330,12210,12980,13910,13070,13430,13340,11550,10880,10100,10540,9790,9320,10210,10100,10850,10700,10110,9220,9240
T12021,12880,13530,12010,12730,13790,12260,13820,13050,11490,10980,10210,10600,9650,9470,10150,9980,11010,10770,10090,9110,9280
T42020,13170,13250,12620,12940,13710,13480,13810,13010,11620,11260,10370,10760,9760,9620,10290,10150,11160,10690,10250,9160,9390
T32020,13280,14110,12510,12990,13710,12850,13780,13500,11270,10960,10330,10820,9890,9560,10380,10270,11220,10890,10140,9010,9490
T22020,13180,12920,12620,13260,13670,12800,13550,13490,11480,10800,10230,10510,9810,9320,10260,10130,11010,10790,9960,8970,9370
T12020,12690,12920,11830,12870,13060,12760,13750,12920,11220,10780,10080,10220,9580,9230,10030,9880,10800,10590,9690,9000,8980
T42019,12870,13400,11760,12790,13670,12590,13150,12980,10830,10790,9700,10100,9320,9110,9840,9580,10590,10210,9660,8580,8900
T32019,12500,12660,11180,12700,13130,12290,13400,12930,10950,10680,9580,10040,9170,9070,9770,9620,10390,10060,9420,8470,8620
T22019,12500,12490,11860,12480,12990,12220,13250,12540,10820,10280,9490,9850,8820,8540,9690,9390,10220,9940,9180,8210,8430
T12019,12140,11970,11570,11820,13060,11730,13060,12540,10710,9910,9320,9600,8630,8590,9220,9180,10110,9740,8910,8310,8250
T42018,12230,12050,11050,12250,13360,11600,12770,12280,10500,9710,9050,9360,8660,8510,9140,9110,10000,9630,8740,7950,8120
T32018,11820,12780,11360,11300,12750,11800,13000,12350,10590,10150,8860,9590,8710,8610,9350,9360,10060,9610,8880,7800,8230
T22018,11580,12270,11250,11150,12340,11290,12640,12310,9900,10020,8840,9210,8650,8330,9440,9180,9850,9420,8570,7720,7930
T12018,11330,12050,11120,11020,11860,11420,12600,11810,10000,9580,8460,9020,8330,8250,8970,8990,9590,9340,8300,7340,7730
T42017,11160,11560,10890,11170,11540,11100,12360,11530,9900,9560,8510,9000,8330,8250,9080,9170,9730,9120,8280,7360,7770
T32017,11130,11380,10590,11020,11840,11210,12020,11980,10000,9450,8430,8940,8370,8280,8710,9040,9480,9080,8320,7050,7610
T22017,10750,11060,10080,10310,11990,11010,12090,11690,9910,9260,8150,8680,8080,8090,8880,8710,9320,8820,7770,6940,7200
T12017,10750,11410,9830,10490,11630,11040,11730,10720,9900,8910,7990,8320,7930,7770,8550,8500,8900,8500,7660,6790,7250
T42016,10380,10250,9630,10260,11310,10720,11240,11130,9210,8600,7800,8270,7780,7920,8450,8410,8850,8460,7640,6720,7060
T32016,10410,10860,9920,9740,11550,10510,11250,11060,9270,8750,7740,8110,7740,7610,8320,8450,8860,8300,7510,6860,7090
T22016,10230,10630,9230,9960,11300,10390,11330,11230,9280,8430,7380,8010,7500,7450,8460,8260,8750,8170,7310,6480,6820
