trimestre,Ile de France,Paris,Petite Couronne,Hauts-de-Seine,Seine-St-Denis,Val-de-Marne,Grande Couronne,Seine-et-Marne,Yvelines,Essonne,Val-d'Oise
T22024,6090,9450,4880,5920,3680,4690,3200,2790,4040,2800,2900
T12024,6120,9490,4910,5950,3710,4740,3200,2780,4030,2800,2890
T42023,6270,9760,5040,6110,3790,4860,3250,2830,4090,2840,2940
T32023,6490,10080,5230,6330,3960,5040,3350,2920,4240,2940,3030
T22023,6530,10130,5270,6390,3960,5070,3390,2940,4290,2960,3060
T12023,6640,10310,5360,6510,4050,5150,3440,2980,4370,3000,3100
T42022,6740,10490,5450,6610,4110,5250,3460,3000,4380,3030,3130
T32022,6850,10650,5570,6770,4190,5330,3490,3030,4430,3060,3150
T22022,6780,10590,5470,6660,4120,5250,3450,2970,4390,3000,3110
T12022,6730,10520,5440,6610,4100,5210,3410,2950,4330,2970,3070
T42021,6710,10600,5400,6560,4070,5170,3340,2900,4220,2920,3020
T32021,6840,10780,5520,6740,4140,5260,3400,2920,4330,2960,3070
T22021,6730,10670,5400,6610,4030,5130,3310,2850,4220,2880,2980
T12021,6670,10650,5340,6530,3960,5080,3240,2790,4130,2830,2930
T42020,6690,10780,5310,6500,3960,5050,3230,2780,4110,2820,2920
T32020,6670,10790,5270,6470,3920,4980,3210,2750,4100,2800,2890
T22020,6570,10670,5160,6320,3840,4900,3160,2720,4030,2760,2860
T12020,6440,10460,5040,6190,3730,4770,3110,2710,3940,2710,2800
T42019,6310,10220,4950,6090,3640,4670,3070,2670,3930,2670,2750
T32019,6250,10090,4920,6040,3650,4670,3050,2650,3880,2670,2750
T22019,6120,9900,4790,5880,3540,4550,3000,2620,3820,2620,2690
T12019,6020,9690,4730,5810,3490,4500,2980,2590,3780,2600,2680
T42018,5970,9570,4690,5760,3450,4470,2980,2600,3780,2610,2680
T32018,5970,9500,4710,5790,3460,4470,3030,2640,3840,2640,2720
T22018,5830,9310,4580,5620,3350,4360,2960,2580,3740,2580,2660
T12018,5750,9090,4530,5560,3320,4330,2960,2580,3750,2590,2650
